,annotation,bootstrap_estimate,bootstrap_error,bt_value,bp_value,bias_corrected_estimate,CI_lo,CI_hi
Intercept,Intercept,5.49055099460743e-05,3.59539689610958e-06,15.271056724081,5.96126255389493e-53,5.47307681807676e-05,4.79072079289389e-05,6.14631060275249e-05
01_HSC,01_HSC,0.000302822442550972,8.42109327954375e-05,3.59599914759973,0.000161574428097578,0.000336539883518907,0.000107329259173042,0.000440488377621555
02_Early.Eryth,02_Early.Eryth,-2.8202727597114e-05,4.0366428417108e-05,-0.698667895650664,0.757620199083674,-4.26208220065652e-05,-0.000102856522391949,5.01453161454761e-05
03_Late.Eryth,03_Late.Eryth,9.69951086211628e-06,2.89858536927099e-05,0.334629125122362,0.368952435824811,-2.07512976774799e-06,-3.244527784321e-05,7.22843809710709e-05
04_Early.Baso,04_Early.Baso,-8.93568828123387e-05,4.33263116153451e-05,-2.06241610422916,0.980415931306076,-9.36480346882724e-05,-0.000166117744631946,-5.67929233770444e-06
05_CMP.LMPP,05_CMP.LMPP,-7.41930460870581e-05,2.98597782492233e-05,-2.48471524027436,0.993517244933789,-7.22898080097503e-05,-0.000131691569683643,-1.87535052817643e-05
06_CLP.1,06_CLP.1,-9.17621930812667e-05,6.00409143822363e-05,-1.52832770828713,0.936784403145271,-9.19770900526201e-05,-0.000210791393719354,1.77646117384648e-05
07_GMP,07_GMP,-0.000122639813951144,4.69371578461022e-05,-2.61285130116433,0.995510482029773,-0.000131120461831077,-0.000213031672541736,-2.62544270262327e-05
08_GMP.Neut,08_GMP.Neut,-7.39737703496606e-05,4.8848423132454e-05,-1.51435329138626,0.935031870446993,-6.5038601535448e-05,-0.000157270708264391,3.63183525146825e-06
09_pDC,09_pDC,4.03076606597388e-05,2.81381548604525e-05,1.43249125110155,0.0760016400857877,4.4565651913391e-05,-8.87980541071279e-06,9.25011603150779e-05
10_cDC,10_cDC,2.29055591936062e-05,3.99310692967503e-05,0.573627493503418,0.283109951415836,1.74944938276958e-05,-5.79271131971947e-05,0.000103071333528654
11_CD14.Mono.1,11_CD14.Mono.1,0.000119046116976936,6.03574228234487e-05,1.97235255264555,0.0242846871327096,0.000118211286932174,7.06579454192336e-06,0.000232912392246915
12_CD14.Mono.2,12_CD14.Mono.2,0.000265760493541897,5.08905127969298e-05,5.22220113211219,8.8404386838415e-08,0.000283586302689053,0.000163998119943127,0.000362936103891535
13_CD16.Mono,13_CD16.Mono,3.08549912073847e-05,4.19486977514958e-05,0.735541098085327,0.231005009998992,2.73208591967813e-05,-4.21851614410709e-05,0.000112390596810235
14_Unk,14_Unk,0.00028139866866587,5.08677571274487e-05,5.53196532650002,1.58331255393015e-08,0.000269461151745522,0.000179731816608197,0.000375740375942146
15_CLP.2,15_CLP.2,-0.000240141678882186,4.53227692077114e-05,-5.29847763232719,0.999999941613911,-0.000267934364338642,-0.000324426541286394,-0.000140377183708746
16_Pre.B,16_Pre.B,8.87016880350932e-05,3.41724909983588e-05,2.59570448169416,0.00471986076570685,9.85274650535153e-05,2.28448814421306e-05,0.000148225066154877
17_B,17_B,-0.000127042880801426,7.00371676813125e-05,-1.81393515767949,0.965156145396209,-0.000127591480781482,-0.000251058114927108,1.74065625755187e-06
18_Plasma,18_Plasma,8.40734009098229e-05,5.16611888799242e-05,1.62739965402721,0.0518261224837761,9.66818357091742e-05,-1.0489664068473e-05,0.00018779454575261
19_CD8.N,19_CD8.N,-0.000166041667605439,4.38024071350084e-05,-3.79069732614609,0.999924887535066,-0.00017203561821943,-0.000252656872398163,-7.60908021602874e-05
20_CD4.N1,20_CD4.N1,-2.6072409086672e-05,6.65436799802346e-05,-0.391808945559012,0.652400307557573,-3.85565848118349e-05,-0.000161641440173177,0.000104298075226919
21_CD4.N2,21_CD4.N2,-0.00013521814088152,5.92974166414241e-05,-2.28033780458253,0.988706169359207,-0.000145194870718781,-0.000240147726419154,-2.88322376488976e-05
22_CD4.M,22_CD4.M,3.32559805102267e-07,7.28979527822561e-05,0.00456199100810983,0.498180035216835,-2.5986338933622e-06,-0.000158587956221076,0.000127869312683562
23_CD8.EM,23_CD8.EM,0.000137681145967166,6.04042918265266e-05,2.27932721010237,0.0113238108522386,0.000140276478329477,2.18551521838398e-05,0.000258389748646557
24_CD8.CM,24_CD8.CM,-6.06878446304694e-05,6.38419766728411e-05,-0.950594699494738,0.829094919803265,-3.11032396621911e-05,-0.000193541510691738,5.80847866602416e-05
25_NK,25_NK,-5.63342187599622e-05,2.25717709550188e-05,-2.49578196022924,0.993716008626412,-5.77630366655542e-05,-0.000101399086998365,-1.65235612222488e-05
26_Unk,26_Unk,0.000117586872836182,2.85502276133128e-05,4.1185966861207,1.90593314953828e-05,0.00012303416713183,6.03543999053937e-05,0.000174768412132299
