,gene_heritability_correlation
RP11-34P13.7,0
FO538757.2,0.0205120807974832
AP006222.2,-0.00318679332911423
RP4-669L17.10,0.0288814906581941
RP5-857K21.4,0.00924919300561085
RP11-206L10.9,0.0810357732108073
LINC00115,-0.00614523244131421
FAM41C,0.0233320266322919
RP11-54O7.1,-0.000436453592652552
RP11-54O7.3,0.00836030098983174
SAMD11,-0.00917097028151199
NOC2L,-0.0336888637878989
KLHL17,-0.0362512986226581
PLEKHN1,-0.012849465070293
RP11-54O7.17,0
HES4,-0.000732936096565147
ISG15,0.0524184632727119
AGRN,-0.0670526609800831
C1orf159,0.0133406411690703
RP11-465B22.8,0
TTLL10,-0.0250805774868575
TNFRSF18,-0.00756960840127615
TNFRSF4,-0.00154688815573855
SDF4,0.0452406996012465
B3GALT6,-0.0258548495091478
FAM132A,0.0546501518307347
UBE2J2,0.0671691833772373
SCNN1D,-0.046323517082859
ACAP3,-0.0166198918577546
PUSL1,0.0191683114039208
CPSF3L,0.0610556337719427
CPTP,0.0072250815379303
TAS1R3,-0.0077249478133896
DVL1,-0.0789465942235331
MXRA8,0
AURKAIP1,0.0110099837381029
CCNL2,-0.0427652840789086
MRPL20,0.104270337374748
RP4-758J18.13,0.0466659330592898
ANKRD65,0.0336509578246965
RP4-758J18.10,0.0234364891623425
VWA1,-0.123359809613356
ATAD3C,0.0643004289791561
ATAD3B,0.0249448058686665
ATAD3A,0.0280191899008469
TMEM240,0
SSU72,0.115380621810765
RP5-832C2.5,0.0108524365653921
C1orf233,0.00783816912996202
RP11-345P4.9,0.0109129855010027
MIB2,0.0540513310112922
MMP23B,0.0300431094373325
CDK11B,-0.0547134493468925
RP11-345P4.10,-0.0443525758768595
SLC35E2B,-0.0469785903369498
RP11-345P4.7,-0.0162702093247531
CDK11A,-0.01676205785524
SLC35E2,-0.0232716742709381
NADK,-0.093589578106964
GNB1,0.0386274770592412
RP1-140A9.1,0
CALML6,0
TMEM52,-0.0288137935845884
CFAP74,-0.0371307149143685
PRKCZ,0.00689996360877043
RP5-892K4.1,0.0257456660822942
RP11-181G12.2,0.00578230421094094
FAAP20,0.0629788601606094
SKI,-0.0205605635884121
MORN1,-0.0101840449136894
RER1,0.0432630105382643
PEX10,0.0527522686305324
PLCH2,-0.00268727968096214
