,Celltype1,Celltype2,Celltype3,Celltype4,Celltype5,Celltype6,Celltype7,Celltype8,Celltype9,Celltype10
hsa00010,0.96985475094121,0.993794005188777,1,0.999999996865656,0.999942586063289,0.83755845658858,0.992335072168052,0.999999999985977,0.787774993527015,0.998810864546862
hsa00020,0.966546399176064,0.787426261666713,0.977860946891328,0.999958960464437,0.800622119432931,0.398105360557969,0.955272231168516,0.829270289734799,0.808191304360558,0.954268591122171
hsa00030,0.0347053253596697,0.125516139227248,1.08827257718803e-37,0.9967788241203,0.0610729355955942,0.110240296725995,0.913189530963073,0.00322405664049072,0.540138436632,0.358704702932885
hsa00051,0.998737933755356,0.936319249121257,1,0.998859031373342,0.999757830129659,0.830789087778313,0.501355930156434,0.999999999731558,0.887645105211428,0.98819986013262
hsa00052,0.998260511625278,0.924711746682071,1,0.999921873846432,0.988206697577473,0.715958736911644,0.984368875436031,0.999851214366942,0.947793157561171,0.999920297717274
hsa00140,0.312890337313847,0.516391647061635,1,0.995634210981853,0.967326241593713,0.563253960292731,0.286307645309332,0.99997746453154,0.54275454901486,0.736244802917049
hsa00190,1,1,1,1,1,0.99742961193875,0.999999999997534,0.999981779408645,1,0.999998753693724
hsa00230,0.406406237348793,0.174010508717977,0.999999999997226,0.803740801064569,0.160184558596635,0.398105360557969,0.695309014527117,0.576926568380243,0.187215361968521,0.645006296225847
hsa00240,0.754287084087302,0.309557072439458,0.999985321090086,0.995920250716428,0.54797600681976,0.398105360557969,0.815821231244416,0.814158815811012,0.530781771996069,0.705752842659696
hsa00260,0.00645226992421671,0.104473652158471,3.96022064257022e-28,0.848594498626323,0.351862637435235,0.398105360557969,0.536558864789478,0.298336138686067,0.194649401939892,0.220690233821929
hsa00270,0.690036507950635,0.541695229420957,1,0.997686788804997,0.953621530145629,0.192706154098017,0.932309497308322,0.999911032193788,0.610162293761249,0.996674207608847
hsa00310,0.997536628865751,0.959572200814974,1,0.999999950886154,0.998692633139375,0.546374099573978,0.995595212796512,0.999600020849134,0.987387399245137,0.986013238973106
hsa00330,0.662374632360588,0.315794248975644,0.791120964044343,0.83229222407896,0.409391565629308,0.398105360557969,0.747348331180327,0.385504401820716,0.188230179919883,0.585180262510621
hsa00380,0.80767710198475,0.584844871078646,1,0.960784838323943,0.871790461738614,0.398105360557969,0.554966194413348,0.99699062724566,0.860006962097112,0.858717736067211
hsa00480,0.148993967497085,0.206657909656743,0.380594114306527,0.998958769847451,0.434141978978322,0.398105360557969,0.876308970266934,0.279397881112637,0.639445574809167,0.294247157340304
