,gene_heritability_correlation
RP11-34P13.7,0
FO538757.2,-0.0240452707382091
AP006222.2,-0.0452412512113322
RP4-669L17.10,0.00375154782879445
RP5-857K21.4,0.00374958936069601
RP11-206L10.9,0.00931742796264061
LINC00115,-0.120754383484877
FAM41C,0.0087545374189235
RP11-54O7.1,0.00374899871150279
RP11-54O7.3,0.00403014080056626
SAMD11,0.00764519900496042
NOC2L,-0.0188681999145224
KLHL17,0.00600954833296993
PLEKHN1,0.00531654706244157
RP11-54O7.17,0
HES4,-0.0261738766107167
ISG15,0.00825195381409304
AGRN,-0.0480160837306456
C1orf159,0.0101103143064481
RP11-465B22.8,0
TTLL10,0.00374968936899674
TNFRSF18,0.0118119744207106
TNFRSF4,0.00653906523423869
SDF4,-0.014038235614126
B3GALT6,-0.0133620321859631
FAM132A,0.00509560863291843
UBE2J2,0.0122057633504819
SCNN1D,0.00908411381336867
ACAP3,0.0192347522178355
PUSL1,-0.0853764314808323
CPSF3L,0.0293350880605841
CPTP,-0.00485358043078906
TAS1R3,0
DVL1,-0.00503962431906384
MXRA8,0
AURKAIP1,-0.0617628970904156
CCNL2,-0.0527664668461985
MRPL20,-0.0296760848518372
RP4-758J18.13,0.00554365275774921
ANKRD65,0.00529517253994554
RP4-758J18.10,0.0037498065006374
VWA1,-0.052578022961543
ATAD3C,0.00987563646721838
ATAD3B,0.0144344221200139
ATAD3A,0.0128739867943419
TMEM240,0
SSU72,-0.0314264572830183
RP5-832C2.5,-0.0939270527975458
C1orf233,0.0052509974769808
RP11-345P4.9,0.013000445892164
MIB2,0.00551955086790184
MMP23B,0.0122608920285438
CDK11B,0.0307303342946176
RP11-345P4.10,-0.0528489187360123
SLC35E2B,-0.0060312431402371
RP11-345P4.7,0.00374962097340296
CDK11A,0.0215332425428691
SLC35E2,0.009930557038059
NADK,-0.0297857787972493
GNB1,0.0234192178104412
RP1-140A9.1,0
CALML6,0
TMEM52,-0.0129226926332654
CFAP74,0.00374856960033633
PRKCZ,0.0193763567309288
RP5-892K4.1,0.00375086576875528
RP11-181G12.2,0.00374932103213638
FAAP20,-0.0390659823679642
SKI,0.0193645984197312
MORN1,0.00590625116441004
RER1,-0.0568063073287172
PEX10,0.0135055362890792
PLCH2,0.00725421899338601
PANK4,0.0145681879292168
RP3-395M20.12,0.0147821310874123
RP3-395M20.8,-0.0525756848301911
TNFRSF14,0.0241448417566371
RP3-395M20.9,0.00374964154286098
FAM213B,0.0123094281801549
MMEL1,0.00374866044743256
TTC34,0
LINC00982,0.00525946346172774
PRDM16,0.00626536651891852
ARHGEF16,0.00902661719910987
MEGF6,-0.228237745771025
TPRG1L,0.00755095583291398
WRAP73,0.0179203096271013
TP73,0.00374914668352629
RP5-1092A11.5,0.00529521471903898
TP73-AS1,0.0112323993421523
SMIM1,-0.0562389683854965
LRRC47,0.000688807698981753
CEP104,0.0203559503628466
DFFB,0.00785578253519345
C1orf174,0.0265319470232646
LINC01134,0
AJAP1,0.00375012297395795
NPHP4,0.00738797921944938
KCNAB2,0.0245314540861116
CHD5,0
RPL22,0.0246784382851273
RP1-120G22.11,0
RNF207,0.0116586782344047
ICMT,-0.0407455649790277
LINC00337,0.00523068308757784
GPR153,0.000564905542022915
ACOT7,-0.00568572177398155
RP1-202O8.3,0.00375085651110631
HES2,0.00509159326003487
ESPN,0.0131836906365741
TNFRSF25,0.014641403436212
PLEKHG5,0.00374876152359197
NOL9,0.0177280854467598
TAS1R1,0
ZBTB48,0.017292131052079
KLHL21,0.0208280227812044
PHF13,-0.0336526804667358
THAP3,0.0158846141172001
DNAJC11,0.0151842962221275
RP11-312B8.1,0.00518309113743872
CAMTA1,0.00435436799578989
VAMP3,0.000296537708822308
PER3,0.0219565470055768
RP3-467L1.4,0
UTS2,0.00375048335823097
TNFRSF9,0.0113958812813591
PARK7,0.0279286226053701
ERRFI1,-0.0506022723396626
RP11-431K24.1,0.00516382268212007
RP11-431K24.3,0.00857843733821125
SLC45A1,0
RERE,0.0305182266366172
RP5-1115A15.1,0.00487863982668078
ENO1,0.00611409723238709
