,Celltype1,Celltype2,Celltype3,Celltype4,Celltype5
hsa00010,0.977304762312757,0.977396898496407,1,0.999996350285956,0.998918704311146
hsa00051,0.999113122925936,0.966699678136877,1,0.989700093283179,0.998964165998693
hsa00052,1.008124070348e-09,0.0542397962165734,2.76439974507361e-30,0.00436878264241266,0.000775537762979975
hsa00190,1,1,1,1,1
hsa00230,0.415028263029185,0.102341446254562,0.889456697031989,0.139013386340268,0.0130721239636689
hsa00240,0.810843840593583,0.377378603016119,0.999998350423205,0.978250332890012,0.277994002915623
hsa00260,0.0035537266707431,0.0904306700786291,2.96251231781819e-46,0.58390131602605,0.135837245424737
hsa00270,0.0699503855997864,0.12926779448487,1,0.728472317400367,0.278500029141815
hsa00310,0.995549722654019,0.966699678136877,1,0.999988778721558,0.984959654648848
hsa00330,0.652038959087743,0.37359674751247,0.542539473413097,0.504493171221365,0.172415969123
hsa00480,0.104235195841191,0.221350669466302,0.156817583911746,0.996686956238918,0.183411170732233
hsa00500,0.0767288708798353,0.260644014380371,0.999995636647597,0.868484416883659,0.126374907057177
hsa00510,0.99996161020909,0.998046482068098,1,0.999997846469942,0.997354389404637
hsa00512,0.484299977565736,0.489395400298763,0.928035238556878,0.624558150676748,0.640997900412218
hsa00513,0.999900358959712,0.997814897717291,1,0.999997696238003,0.99708402648533
hsa00514,0.999374378490361,0.857949176332316,1,0.999693783972962,0.995218199357859
hsa00562,0.557752315550224,0.260644014380371,0.372156133441531,0.540370248928905,0.264503443105264
hsa00563,0.00322840523238387,0.147089827783429,0.21843649259709,0.285709417457845,0.0562562724772386
hsa00564,0.923943848333352,0.0669725070213758,0.192739355708782,0.198740397916695,0.0311827040942246
hsa00590,0.934704565372673,0.68307435489138,1.29977702348347e-12,0.99999998511452,0.5
hsa00600,0.220249006183738,0.222669451670189,0.962954370420807,0.794316755613828,0.257155326672945
hsa00601,0.000342344105624817,0.0744624078423341,1.08174740012582e-09,0.0372878225749562,0.00897729800941508
hsa00620,0.00425862719384263,0.0255482433356383,1.05025102549997e-57,0.341533373934571,0.0498242510805416
hsa00980,0.80804113922305,0.438379635515116,1,0.850107640957163,0.918795129810918
hsa00982,0.0858905701325195,0.510604599701237,1,0.992106233101495,0.917884463933275
hsa00983,0.635621922279806,0.241250727022474,1,0.976937398008279,0.265738435212849
hsa03008,0.181888853359926,0.335691376031012,0.788575038046835,0.524697167976326,0.408774188728174
hsa03010,8.56658863236219e-57,4.04763988155122e-40,5.55387312459473e-209,5.13835049673973e-103,4.61070187780988e-90
hsa03013,0.0380922152404926,0.443186968990853,0.769584974995986,0.630683757524476,0.34140768230286
hsa03040,0.999598251933678,0.5716419208121,1,0.999097402853212,0.921149355148104
hsa03050,0.0648197608291199,1.43336982220065e-05,0.725294921791724,0.372508184108406,2.77455369906005e-05
hsa03320,0.325386255321153,0.260644014380371,0.000235024432595249,0.523015207929455,0.232758048150129
hsa04010,0.999990271161884,0.218073327750988,0.325873581617036,0.79948793068262,0.686614978198408
hsa04014,0.848722401236489,7.21917353123991e-05,0.256649909283392,0.0598903522218771,0.000781587854029539
hsa04015,0.999989059695593,0.388369012129121,2.80077057107043e-56,0.00173094036684104,0.172031220798755
hsa04020,1.15718027713341e-13,0.027380953178044,0.703387211328278,0.193482292089321,0.010443822625793
hsa04022,0.999881916320041,0.385400840783434,0.114227562611512,0.396170695927659,0.276730903657762
hsa04024,0.999999923358297,0.673546797200019,2.43733238033538e-05,0.334584751330225,0.770227105523767
hsa04060,0.0148372515100668,0.89262869949135,0.980477979516457,0.990642015459806,0.515335508807123
hsa04062,0.999999888589269,0.549367288593164,6.57530042627092e-06,0.990570962838586,0.737712159024601
hsa04064,0.755727211251179,0.620093585901553,0.94615038517376,0.943065136242559,0.350863188921987
hsa04066,0.898285238596311,0.068275874833683,2.43025797205727e-122,0.949514757345182,0.0151551893549243
hsa04068,1,0.999999041695161,1,0.999999999794153,0.999999725416833
hsa04070,0.977000053754163,0.260644014380371,0.410638244780018,0.542046225476082,0.264997089275508
hsa04071,0.0347279071826035,0.236784194736051,1.63458190425467e-06,0.0648140006277717,0.0702525728003443
hsa04072,0.999999999986314,0.435761234308642,0.0062427664209015,0.654582756313426,0.372043045356262
hsa04110,3.77259044868082e-07,0.00250084786007263,2.977892355431e-06,1.12212784416209e-05,0.00205614347794838
hsa04114,0.0418013819855268,0.986365873000376,5.50426308836521e-20,0.853849130861925,0.998833991416288
hsa04120,0.0488496043394053,0.0274508842729753,0.345778497351452,0.318844640814729,0.0572881571315453
