,gene_heritability_correlation
RP11-34P13.7,0
FO538757.2,-0.0642253660314956
AP006222.2,-0.0552984270524853
RP4-669L17.10,-0.0432802880132746
RP5-857K21.4,0
RP11-206L10.9,0.044419358716552
LINC00115,0.100929454516119
FAM41C,-0.0234870892714159
RP11-54O7.1,0
RP11-54O7.3,0
SAMD11,-0.0196693318862812
NOC2L,-0.0856573995977075
KLHL17,0.00526148065879093
PLEKHN1,-0.0196348244201061
RP11-54O7.17,0
HES4,-0.0390300275724212
ISG15,0.0702462175349107
AGRN,0.0291304370035587
C1orf159,-0.0290006415214972
RP11-465B22.8,0
TTLL10,0
TNFRSF18,0.00163383152810128
TNFRSF4,0.0396857761416348
SDF4,0.00483673661246838
B3GALT6,-0.0581824737584683
FAM132A,0
UBE2J2,-0.0419042779499656
SCNN1D,0.00193790151787526
ACAP3,0.118324034066373
PUSL1,-0.00684704359427562
CPSF3L,0.00507059235336632
CPTP,-0.0514001248298807
TAS1R3,0.00193790151787526
DVL1,-0.0748932090864765
MXRA8,0
AURKAIP1,0.0625785842504966
CCNL2,-0.03350398493057
MRPL20,0.0699141682396482
RP4-758J18.13,0
ANKRD65,0.394571166885215
RP4-758J18.10,0
VWA1,-0.0750953522899085
ATAD3C,0.0727039356890203
ATAD3B,0.00395672287223415
ATAD3A,0.0589444461326842
TMEM240,0
SSU72,0.0325500182707772
RP5-832C2.5,-0.0360849571496711
C1orf233,0
RP11-345P4.9,-0.0324302339334348
MIB2,0.0201887597023313
MMP23B,0
CDK11B,-0.0234143008227308
RP11-345P4.10,-0.0247998562753037
SLC35E2B,-0.0811579758300455
RP11-345P4.7,-0.026507678296815
CDK11A,-0.0403401324551785
SLC35E2,-0.0276178106834514
NADK,-0.0903700987089629
GNB1,0.0430488692931897
RP1-140A9.1,0
CALML6,0
TMEM52,0
CFAP74,0
PRKCZ,-0.0463182216105283
RP5-892K4.1,0
RP11-181G12.2,0
FAAP20,0.00374407920660443
SKI,-0.073107032051169
MORN1,0.0310429227086704
RER1,-0.00701811650129838
PEX10,0.0756174088539267
PLCH2,0
PANK4,-0.0384518254592509
RP3-395M20.12,0.107548001137557
RP3-395M20.8,-0.0192941511324972
TNFRSF14,0.106337666352962
RP3-395M20.9,0
FAM213B,-0.0260385526848627
MMEL1,0
TTC34,0
LINC00982,0
PRDM16,0
