,Celltype6,Celltype7,Celltype8,Celltype9,Celltype10
hsa00010,0.795671387487958,0.950124633269722,0.999999999990672,0.383701551466996,0.992501956927717
hsa00051,0.757449712007568,0.275747393934936,0.999999999824786,0.826622582983818,0.974408423944914
hsa00052,0.105570408789751,0.0284638921203771,0.00139968442666469,7.61814971100944e-05,2.22176174744784e-07
hsa00190,0.997507138925849,0.999999999993079,0.999965474757563,1,0.999998196920566
hsa00230,0.300281211893682,0.234403189215051,0.199233915746709,0.0190568874161736,0.165138658611924
hsa00240,0.300281211893682,0.554340286732843,0.785621196695778,0.443754516783453,0.556264554893666
hsa00260,0.300281211893682,0.184819548049455,0.153701284278339,0.103982583764356,0.0750600483133226
hsa00270,0.117303341013688,0.145553200024672,0.996963504522883,0.163406543289465,0.848199643105888
hsa00310,0.435938351578004,0.928445795212002,0.972901409286698,0.807604440480346,0.94285461809308
hsa00330,0.300281211893682,0.400769221713765,0.2659764475154,0.100730821320408,0.399473826503182
hsa00480,0.300281211893682,0.644288379249815,0.138917177167215,0.561319937794578,0.117848043758051
hsa00500,0.300281211893682,0.762021873912729,0.915176760420544,0.0353975169331482,0.165138658611924
hsa00510,0.871465188090587,0.76162282193616,0.884349452790573,0.349428782048432,0.875018012550038
hsa00512,0.780961982579213,0.426372498585105,0.621039940971773,0.546494325274146,0.339731859397748
hsa00513,0.863896989910493,0.765596810784949,0.868558367763577,0.415563278402945,0.840078658806835
hsa00514,0.866294126934518,0.989005773748575,0.902500016026913,0.98421114511206,0.995738044491506
hsa00562,0.300281211893682,0.400769221713765,0.206110779958485,0.32593651649924,0.820045456209948
hsa00563,0.422061240420672,0.2476557550316,0.117617920181869,0.0163484979714954,0.00556481091598271
hsa00564,0.116003779938154,0.0452784301800882,0.328894852385634,0.0708862321295116,0.325850124564885
hsa00590,0.575343620357968,0.978032979770182,0.000125476231729091,0.871785073703395,0.480813590269827
hsa00600,0.416881210335386,0.37167964206793,0.7628009146238,0.720765487397834,0.771229507307777
hsa00620,0.300281211893682,0.135489054994886,0.0102233050767873,0.0308152156237647,0.0762699937078788
hsa00980,0.300281211893682,0.047532395558121,0.998020655118476,0.428982840130261,0.926923920861392
hsa00982,0.300281211893682,0.667999443865039,0.999867314472102,0.536289321055618,0.613583234110786
hsa00983,0.300281211893682,0.394802081383278,0.762357889590167,0.105148246933202,0.943981413674021
hsa03008,0.194451934484112,0.350920910234492,0.578971650075546,0.244044034301684,0.199510574849429
hsa03010,2.82044003398119e-12,1.08797352897319e-28,4.56031717377804e-23,7.91827349571472e-45,2.86897672072779e-27
hsa03013,0.536086515102208,0.375585388144889,0.431708557927142,0.352607604747426,0.0320928776585049
hsa03040,0.883130986816482,0.534923581757256,0.814098582163634,0.999999999238558,0.805981138362727
hsa03050,0.00168570910607195,0.398280011522893,0.423272265668083,0.000141900371641798,0.0258456432496247
hsa03320,0.300281211893682,0.353792550117051,0.382236606954708,0.233743510621586,0.320261743454412
hsa04010,0.431592437941388,0.252984265598596,0.883228121451798,0.904462292023093,0.998525589411493
hsa04014,0.300281211893682,0.0306282350945932,0.252971821288549,0.133451673073327,0.211589223354549
hsa04015,0.300281211893682,0.098921892605785,0.00846340154596831,0.127095648309588,0.979420233730828
hsa04020,0.300281211893682,0.317164023027254,0.401511132476603,0.134841642614777,2.97490763836055e-06
hsa04022,0.300281211893682,0.798219177418596,0.354143952074427,0.97021401251221,0.998859031373342
hsa04024,0.300281211893682,0.758417251885832,0.340904727900401,0.980490395926436,0.999942707364702
hsa04060,0.862929948180317,0.564510475569173,0.555862732795434,0.772125053894973,0.968812656974672
hsa04062,0.670701012825882,0.999669856578187,0.173136728139578,0.415563278402945,0.871191446750866
hsa04064,0.918012534719494,0.963924664481296,0.904461099347409,0.77981924832683,0.74790266450822
hsa04066,0.940326483126383,0.785659552359635,8.04519641175667e-08,0.514105340988496,0.817809299275259
hsa04068,0.766338854193118,0.994447001145511,0.999202108513683,0.835533841688812,0.999999999898624
hsa04070,0.300281211893682,0.479439517979996,0.22198230643269,0.431087497922868,0.823000060606379
hsa04071,0.300281211893682,0.285301538774363,0.288052064653448,0.189188549951185,0.341807606143443
hsa04072,0.300281211893682,0.161728153293022,0.20529450699117,0.281761858238859,0.999965824635723
